DA_FIELD_APPLICATION_WELL_CODE,DA_FIELD_COMPLETION_DATE,DA_FIELD_COMPLETION_WELL_CODE,DA_FIELD_NUMBER,PARENT_STATUS_NUMBER
B,00000000,,85280300,0908607
B,00000000,,85280300,0908610
B,00000000,,85280300,0908609
B,00000000,,85280300,0908611
B,00000000,,85280300,0908612
B,00000000,,85280300,0908720
B,00000000,,85280300,0908721
B,00000000,,85280300,0908722
B,00000000,,85280300,0908723
B,00000000,,85280300,0908724
B,00000000,,85280300,0908725
B,00000000,,85280300,0908726
B,00000000,,85280300,0908727
B,20241126,O,85280300,0898872
B,20241126,O,85280300,0898873
B,20241126,O,85280300,0898867
B,20241126,O,85280300,0898869
B,20241126,O,85280300,0898870
B,00000000,,85280300,0908879
B,00000000,,85280300,0908895
B,00000000,,85280300,0908893
B,00000000,,85280300,0908881
B,00000000,,85280300,0908883
B,00000000,,85280300,0908896
O,00000000,,85280300,0908072
B,00000000,,85280300,0908071
B,00000000,,85280300,0908073
B,00000000,,85280300,0908075
B,00000000,,85280300,0908074
B,00000000,,85280300,0908076
B,00000000,,85280300,0908077
B,00000000,,85280300,0908078
B,00000000,,85280300,0908079
B,00000000,,85280300,0907483
B,00000000,,85280300,0907484
B,00000000,,85280300,0907970
B,00000000,,85280300,0907971
I,20250522,I,85280300,0908458
B,00000000,,85280300,0907706
B,00000000,,85280300,0908371
B,00000000,,85280300,0908372
B,00000000,,85280300,0908370
B,00000000,,85280300,0908373
B,00000000,,85280300,0908374
B,00000000,,85280300,0908375
B,00000000,,85280300,0908376
B,00000000,,85280300,0908377
B,00000000,,85280300,0908378
B,00000000,,85280300,0905514
B,00000000,,85280300,0905524
B,00000000,,85280300,0905526
B,00000000,,85280300,0905527
B,00000000,,85280300,0905584
B,00000000,,85280300,0905665
B,00000000,,85280300,0905668
B,00000000,,85280300,0905672
B,00000000,,85280300,0905675
B,00000000,,85280300,0905710
B,00000000,,85280300,0905711
B,00000000,,85280300,0905712
B,00000000,,85280300,0906710
B,00000000,,85280300,0906711
B,00000000,,85280300,0906714
B,00000000,,85280300,0906716
B,00000000,,85280300,0906718
B,00000000,,85280300,0906720
B,00000000,,85280300,0906724
B,00000000,,85280300,0906726
B,00000000,,85280300,0907886
B,00000000,,85280300,0907888
B,00000000,,85280300,0907889
B,00000000,,85280300,0907891
B,00000000,,85279200,0907893
B,00000000,,85280300,0907996
B,00000000,,85280300,0907883
B,00000000,,85280300,0907884
B,00000000,,85280300,0908050
B,00000000,,85280300,0908051
B,00000000,,85280300,0908052
B,00000000,,85280300,0906109
B,00000000,,85280300,0900764
B,00000000,,85280300,0900785
B,00000000,,85280300,0900787
B,00000000,,85280300,0900789
B,00000000,,85280300,0900791
S,00000000,,85280300,0908444
B,00000000,,85280300,0900832
B,00000000,,85280300,0900836
B,00000000,,85280300,0900848
B,00000000,,85280300,0900860
B,00000000,,85280300,0900879
S,00000000,,85280300,0908443
B,00000000,,85280300,0892696
B,20240913,O,85280300,0892714
B,00000000,,68481567,0908778
B,00000000,,00016001,0908867
O,00000000,,16643075,0908867
O,00000000,,57916500,0908867
O,00000000,,91663500,0908867
B,00000000,,85280300,0908086
B,00000000,,85280300,0908087
B,00000000,,85280300,0908088
B,00000000,,85280300,0908107
B,00000000,,85280300,0908110
B,00000000,,85280300,0908090
B,00000000,,85280300,0908039
B,00000000,,85280300,0908041
B,00000000,,85280300,0908042
B,00000000,,85280300,0908044
B,20240604,O,85280300,0896721
B,20241027,O,85280300,0896722
B,00000000,,85280300,0899917
B,00000000,,85280300,0899918
B,00000000,,85280300,0899922
B,00000000,,85280300,0899919
B,00000000,,69996200,0898832
B,00000000,,85280300,0898832
B,00000000,,69996200,0898833
B,00000000,,85280300,0898833
I,00000000,,04605444,0908396
B,00000000,,85280300,0892041
B,20250415,O,85280300,0877841
B,20250418,O,85280300,0877854
B,20250228,O,85280300,0879546
B,00000000,,85280300,0907721
B,00000000,,85280300,0907839
B,00000000,,85280300,0907919
B,00000000,,85280300,0907841
B,00000000,,85280300,0907842
B,00000000,,85280300,0907843
B,00000000,,85280300,0907845
B,00000000,,85280300,0907847
B,00000000,,85280300,0907849
B,00000000,,85280300,0907850
B,00000000,,00018001,0891164
O,00000000,,49790500,0891164
B,00000000,,85280300,0906252
B,00000000,,85280300,0906253
B,00000000,,85280300,0906254
B,00000000,,85280300,0906255
B,00000000,,85280300,0906256
B,00000000,,85280300,0906257
B,00000000,,85280300,0908676
B,00000000,,85280300,0908675
B,00000000,,85280300,0908674
B,00000000,,85280300,0908673
B,00000000,,85280300,0908679
B,00000000,,85280300,0908678
B,00000000,,85280300,0908680
B,00000000,,85280300,0908677
B,00000000,,85280300,0908269
G,00000000,,68831001,0908636
O,00000000,,89238500,0907030
G,00000000,,16032300,0908387
G,00000000,,16032300,0908388
G,00000000,,18518510,0908496
G,00000000,,16032300,0908591
G,00000000,,16032300,0908627
G,00000000,,16032300,0908631
G,00000000,,16032300,0908634
G,00000000,,16032300,0908447
G,00000000,,16032300,0908448
G,00000000,,16032300,0905717
G,00000000,,16032300,0908615
G,00000000,,16032300,0908616
G,00000000,,16032300,0908303
G,00000000,,16032300,0908307
G,00000000,,16032300,0908305
B,00000000,,99295001,0908925
B,00000000,,99295001,0908813
B,00000000,,99295001,0908787
B,00000000,,99295001,0908814
B,00000000,,99295001,0908796
B,00000000,,99295001,0908792
B,00000000,,99295001,0908808
O,00000000,,07919001,0908711
B,20250109,O,85279200,0895937
B,00000000,,85279200,0908688
B,00000000,,85279200,0908690
B,00000000,,85279200,0908691
B,00000000,,85279200,0908547
B,00000000,,85279200,0907563
B,00000000,,85279200,0907562
B,00000000,,85279200,0907569
B,00000000,,85279200,0907568
B,00000000,,85279200,0907567
B,00000000,,85279200,0908551
B,00000000,,85279200,0908789
B,00000000,,85279200,0908791
B,00000000,,85279200,0908790
B,00000000,,85279200,0908793
B,00000000,,85279200,0908795
B,00000000,,85279200,0908794
B,00000000,,85279200,0908346
B,00000000,,85279200,0908345
B,00000000,,85279200,0908347
B,00000000,,85279200,0908351
B,00000000,,85279200,0908349
B,00000000,,85279200,0908353
B,00000000,,85279200,0908339
B,00000000,,85279200,0908338
B,00000000,,85279200,0908341
B,00000000,,85279200,0908343
B,00000000,,85279200,0908342
B,00000000,,85279200,0908344
I,00000000,,85279200,0908475
I,00000000,,85279200,0908392
I,00000000,,85279200,0908393
B,00000000,,85279200,0908189
B,00000000,,85279200,0908191
B,00000000,,85279200,0908193
B,00000000,,85279200,0908194
B,00000000,,85279200,0908185
B,00000000,,85279200,0908195
B,00000000,,85279200,0908196
B,00000000,,85279200,0908198
B,00000000,,85279200,0908199
B,00000000,,85279200,0908580
B,00000000,,85279200,0908581
B,00000000,,85279200,0908582
B,00000000,,85279200,0908587
B,00000000,,85279200,0908589
B,00000000,,85279200,0908588
B,00000000,,85279201,0908283
B,00000000,,85279201,0908284
B,00000000,,85279201,0908286
B,00000000,,85279201,0908287
B,00000000,,85279201,0908289
B,00000000,,85279201,0908290
B,00000000,,85279201,0908291
B,00000000,,85279201,0908292
B,00000000,,85279201,0908293
B,00000000,,85279201,0908294
B,00000000,,85279201,0908295
B,00000000,,85279201,0908297
B,00000000,,85279201,0908478
T,00000000,,00016001,0900411
B,20250205,O,85279200,0894957
B,00000000,,71052900,0907911
B,00000000,,71052900,0907914
B,00000000,,80544500,0908583
B,00000000,,71052900,0908584
B,00000000,,71052900,0908433
B,00000000,,71052900,0908434
B,00000000,,71052900,0908435
B,00000000,,71052900,0908436
B,00000000,,71052900,0908437
B,00000000,,71052900,0908438
B,00000000,,71052900,0902023
B,00000000,,71052900,0894982
B,00000000,,71052900,0894984
O,00000000,,41911500,0908486
O,00000000,,41911500,0908487
B,00000000,,71052900,0897861
I,00000000,,80544500,0908521
B,00000000,,71052900,0908815
B,00000000,,71052900,0908817
B,00000000,,80544500,0908511
B,00000000,,80544500,0908522
B,00000000,,80544500,0908832
B,00000000,,80544500,0908833
B,00000000,,80544500,0908834
B,00000000,,71052900,0907271
B,00000000,,71052900,0907272
B,00000000,,71052900,0908572
B,00000000,,71052900,0908186
B,00000000,,71052900,0901468
B,00000000,,71052900,0901467
B,00000000,,71052900,0908001
B,00000000,,71052900,0908002
B,00000000,,71052900,0908003
B,00000000,,98359800,0905737
B,00000000,,98359800,0908518
B,00000000,,98359800,0908519
O,00000000,,60462550,0908629
G,00000000,,60462750,0908629
O,00000000,,34733500,0904679
B,00000000,,00016001,0908754
B,00000000,,66158180,0908754
O,00000000,,66158540,0908754
O,00000000,,72065350,0908754
O,00000000,,40359333,0908517
G,00000000,,16032300,0904196
G,00000000,,16032300,0904197
G,00000000,,16032300,0902492
O,20250527,O,93416800,0908426
O,00000000,,48583001,0908577
O,00000000,,48583001,0903537
I,00000000,,48583001,0908296
G,00000000,,16032300,0897650
G,00000000,,16032300,0900508
G,00000000,,16032300,0900547
G,00000000,,16032300,0900549
G,00000000,,16032300,0897571
G,00000000,,16032300,0908148
G,00000000,,89120001,0908630
G,00000000,,89120001,0908635
O,00000000,,00014001,0908409
O,00000000,,97526500,0908409
B,00000000,,00014001,0908419
O,00000000,,53786600,0908419
O,00000000,,98708500,0908419
O,00000000,,88520001,0908390
O,00000000,,87254240,0908759
O,00000000,,87254240,0908704
B,00000000,,00014001,0908783
O,00000000,,28258333,0908783
O,00000000,,28258666,0908783
B,00000000,,34943300,0908340
B,00000000,,34943300,0908640
B,00000000,,34943300,0908643
O,00000000,,85279200,0908260
O,00000000,,85279200,0908258
O,00000000,,85279200,0908259
O,00000000,,85279200,0908261
O,00000000,,85279200,0908262
O,00000000,,85279200,0908263
O,00000000,,85279200,0908264
O,00000000,,85279200,0908265
B,00000000,,69996200,0907180
B,00000000,,85279200,0907180
B,00000000,,69996200,0907127
B,00000000,,85280300,0907127
B,00000000,,85279200,0903624
B,00000000,,85279200,0903623
B,00000000,,85279200,0903625
B,00000000,,85279200,0903621
B,20240904,O,85279200,0896417
B,20240905,O,85279200,0896418
B,20240904,O,85279200,0896421
B,20240904,O,85279200,0896416
B,00000000,,85279200,0908712
B,00000000,,85279200,0908713
B,00000000,,85279200,0908715
B,00000000,,85279200,0908714
B,00000000,,85279200,0908924
B,00000000,,85279200,0908229
B,00000000,,85279200,0908328
B,00000000,,85279200,0908329
B,00000000,,85279200,0908331
B,00000000,,85279200,0908332
B,00000000,,85279200,0908333
B,00000000,,85279200,0908360
B,00000000,,85279200,0908366
B,00000000,,85279200,0908367
B,00000000,,85279200,0908368
B,00000000,,85279200,0907639
B,00000000,,85279200,0907640
B,00000000,,85279200,0907641
B,00000000,,85279200,0907642
B,00000000,,85279200,0907643
B,00000000,,85279200,0907644
B,00000000,,85279200,0907645
I,00000000,,59337001,0908520
I,00000000,,59337001,0908705
I,00000000,,59337001,0908516
I,00000000,,59337001,0908507
I,00000000,,59337001,0908510
I,00000000,,59337001,0908707
B,00000000,,85279200,0908131
B,00000000,,85279200,0908465
B,00000000,,85279200,0908465
B,00000000,,85279200,0908740
B,00000000,,85279200,0908741
B,00000000,,85279200,0908742
B,00000000,,85279200,0908767
B,00000000,,85279200,0908771
B,00000000,,85279200,0908133
B,00000000,,85279200,0908134
B,00000000,,85279200,0908135
B,00000000,,85279200,0908136
B,00000000,,85279200,0908454
B,00000000,,85279200,0908454
B,00000000,,85279200,0908455
B,00000000,,85279200,0908455
B,00000000,,85279200,0908463
B,00000000,,85279200,0908463
B,00000000,,85279200,0908464
B,00000000,,85279200,0908464
C,00000000,,00010001,0908400
I,00000000,,00392300,0903214
B,00000000,,71052900,0907037
B,00000000,,71052900,0907038
B,00000000,,71052900,0908919
B,00000000,,71052900,0908921
B,00000000,,71052900,0908922
B,00000000,,71052900,0908923
I,00000000,,15499380,0903893
B,00000000,,00018001,0908784
O,00000000,,29507350,0908784
O,00000000,,29507595,0908784
O,00000000,,29507690,0908784
G,00000000,,39744500,0908456
G,00000000,,39744250,0908461
G,00000000,,39744500,0908457
G,00000000,,39744250,0908462
G,00000000,,39744500,0908459
B,00000000,,54928500,0908882
B,00000000,,54928500,0908886
B,00000000,,54928500,0908887
B,00000000,,54928500,0908699
B,00000000,,54928500,0908700
B,00000000,,54928500,0908701
B,00000000,,54928500,0908702
G,00000000,,23379124,0908431
G,00000000,,39744500,0907934
G,00000000,,39744500,0907929
G,00000000,,39744500,0908348
G,00000000,,39744250,0908350
B,00000000,,67885400,0908515
B,00000000,,67885400,0908513
B,00000000,,67885400,0908514
B,00000000,,67885400,0908512
G,00000000,,39744250,0908743
B,00000000,,12018200,0908466
B,00000000,,12018200,0908466
B,00000000,,12018200,0908467
B,00000000,,12018200,0908467
G,00000000,,39744250,0908744
G,00000000,,39744250,0908745
G,00000000,,39744250,0908746
G,00000000,,39744250,0893800
B,00000000,,54928500,0908334
B,00000000,,54928500,0908336
B,00000000,,00006001,0908942
G,00000000,,84833104,0908942
G,00000000,,84883117,0908942
G,00000000,,84883360,0908942
G,00000000,,84883450,0908942
G,00000000,,84883825,0908942
G,00000000,,84883900,0908942
B,00000000,,84885001,0908942
G,00000000,,84885300,0908942
G,00000000,,84887200,0908942
G,00000000,,84887400,0908942
G,00000000,,84887600,0908942
O,00000000,,47902001,0908856
O,00000000,,02550666,0908470
B,00000000,,27135700,0908586
B,00000000,,27135700,0908585
B,00000000,,49129150,0908508
B,00000000,,49129150,0908509
B,00000000,,49129150,0908446
O,00000000,,49133001,0908626
B,00000000,,49129858,0907804
O,00000000,,62417110,0907870
B,00000000,,71052900,0900440
B,00000000,,71052900,0900441
B,00000000,,71052900,0900442
B,00000000,,71052900,0900443
B,00000000,,71052900,0900444
B,00000000,,71052900,0900446
B,00000000,,71052900,0904667
B,00000000,,71052900,0904668
B,00000000,,71052900,0906827
B,00000000,,71052900,0904669
B,00000000,,71052900,0904670
B,00000000,,71052900,0904671
B,00000000,,71052900,0904672
B,00000000,,71052900,0904673
B,00000000,,71052900,0904674
B,00000000,,71052900,0904675
B,00000000,,71052900,0904676
B,00000000,,65280200,0908412
B,00000000,,65280200,0908413
B,00000000,,65280200,0908414
G,00000000,,10574520,0485792
O,00000000,,65011050,0908628
O,00000000,,95431001,0908669
O,00000000,,95431001,0908671
O,00000000,,71823666,0907686
I,00000000,,12160600,0908411
I,00000000,,67899200,0907956
O,00000000,,67899200,0908873
I,00000000,,67899200,0908851
I,00000000,,67899200,0908897
